City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.22,light rain,-23.1203,-134.9692,Pension Maro'i
5,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Tecoanapa,MX,81.63,few clouds,16.5167,-98.75,Hotel Manglares
10,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
11,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Banjar,ID,78.8,light rain,-8.19,114.9675,The Hamsa Resort
18,Nadadores,MX,80.01,clear sky,27.05,-101.6,La Cabañita - Eventos
22,Vaitape,PF,81.55,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
24,Tera,NE,77.67,few clouds,14.0078,0.7531,Hotel Dar es salam
25,Mahibadhoo,MV,81.1,overcast clouds,3.7833,72.9667,Omadhoo Inn
26,Ndele,CF,76.86,few clouds,8.4109,20.6473,
27,Bulalacao,PH,78.58,broken clouds,12.3254,121.3435,By The Sea Hotels
31,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
33,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
34,Kavieng,PG,82.22,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
37,Lazaro Cardenas,MX,80.19,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
46,Gorontalo,ID,76.5,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
48,Luanda,AO,78.8,clear sky,-8.8368,13.2343,EPIC SANA Luanda
50,Mount Isa,AU,80.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
51,Cancun,MX,80.6,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
55,Nhulunbuy,AU,78.8,light rain,-12.2333,136.7667,East Arnhem Real Estate
65,Lakes Entrance,AU,75.0,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
67,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
76,Puerto Leguizamo,CO,76.64,overcast clouds,-0.1934,-74.7819,la casona de juancho
78,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
84,Atuona,PF,79.38,light rain,-9.8,-139.0333,Villa Enata
87,Byron Bay,AU,78.8,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
94,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
95,Dingle,PH,75.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
99,Angoche,MZ,78.98,moderate rain,-16.2325,39.9086,Guest House HESADA
102,Algiers,DZ,75.2,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
103,Araouane,ML,79.72,overcast clouds,18.9048,-3.5265,
104,Hobyo,SO,75.9,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
120,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Benemerito De Las Americas,MX,83.23,few clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
127,Mayumba,GA,78.89,light rain,-3.432,10.6554,LIKWALE LODGE
129,Malayal,PH,77.0,broken clouds,7.207999999999999,121.94200000000001,
135,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
141,Santa Helena De Goias,BR,75.56,overcast clouds,-17.8136,-50.5969,Hotel Pacheco
142,Arraial Do Cabo,BR,76.12,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
147,Puro,PH,77.79,scattered clouds,12.4841,123.3827,
157,Maunabo,PR,78.01,few clouds,18.0072,-65.8993,Maunacaribe
159,Sabang,ID,81.01,clear sky,5.8933,95.3214,Hotel Citra
163,Paka,MY,75.2,scattered clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
168,Boa Viagem,BR,80.11,clear sky,-5.1275,-39.7322,Residencial macavi
170,Guatire,VE,84.2,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
177,Vila Velha,BR,82.4,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
178,Majene,ID,78.3,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
184,Paracuru,BR,81.0,clear sky,-3.41,-39.0306,Hotel Vento Brasil
189,Kaya,BF,78.15,clear sky,13.0917,-1.0844,Maison de l'appelé
191,Kantunilkin,MX,80.6,scattered clouds,21.0917,-87.45,Posada Paraiso
192,Bambanglipuro,ID,75.49,broken clouds,-7.95,110.2833,Puri Brata
195,Yeppoon,AU,84.2,scattered clouds,-23.1333,150.7333,Villa Mar Colina
197,Kirakira,SB,83.21,scattered clouds,-10.4544,161.9205,SanBiz Lodge
200,Cabo San Lucas,MX,79.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
207,Kieta,PG,84.31,clear sky,-6.2167,155.6333,
214,Katobu,ID,77.36,light rain,-4.9408,122.5276,La Ode Husein
215,Bac Lieu,VN,75.74,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
218,Ancud,CL,78.8,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
219,Tautira,PF,82.4,light rain,-17.7333,-149.15,Pension Oaoa
220,Nieuw Nickerie,SR,77.85,broken clouds,5.95,-56.9833,Ishwardat Inn
228,Quelimane,MZ,84.0,few clouds,-17.8786,36.8883,Hotel Flamingo
231,Tamandare,BR,78.66,clear sky,-8.7597,-35.1047,Pousada 100 Passos
232,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
239,Chillan,CL,78.8,clear sky,-36.6066,-72.1034,Pirimahuida Lodge & Spa
240,Faanui,PF,81.61,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
242,Butaritari,KI,81.61,light rain,3.0707,172.7902,Isles Sunset Lodge
244,Meulaboh,ID,75.96,light rain,4.1363,96.1285,Kost Pria
248,Santarem,BR,80.6,few clouds,-2.4431,-54.7083,Hotel Imperador
258,Kavaratti,IN,80.42,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
260,Sao Miguel Do Araguaia,BR,75.96,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
264,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
265,Les Cayes,HT,76.93,scattered clouds,18.2,-73.75,Villa Orphee
269,Parambu,BR,77.99,clear sky,-6.2111,-40.6944,Hotel pousada santo onofre
270,Caravelas,BR,80.2,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
276,Sucua,EC,75.2,light rain,-2.4667,-78.1667,Hotel Barza
279,Kalmunai,LK,75.56,overcast clouds,7.4167,81.8167,VS Villa
281,Kulhudhuffushi,MV,81.68,broken clouds,6.6221,73.07,Haajy Guest House 1
284,Viedma,AR,81.82,clear sky,-40.8135,-62.9967,Hotel Cristal
285,Richards Bay,ZA,75.6,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
286,Namatanai,PG,80.46,overcast clouds,-3.6667,152.4333,Namatanai Hotel
287,Soyo,AO,79.81,broken clouds,-6.1349,12.3689,Hotel Mpampa
290,Amudat,UG,75.27,overcast clouds,1.95,34.95,Silent Night Hotel
292,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
293,Biak,ID,76.98,overcast clouds,-0.9131,122.8766,Penginapan Kim
298,Vao,NC,78.49,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
306,Tabou,CI,79.02,few clouds,4.423,-7.3528,hotêl doufoulougou
310,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
315,Itambacuri,BR,76.1,overcast clouds,-18.0311,-41.685,Pousada Bela
328,Puga,MX,82.4,clear sky,21.5833,-104.8167,
329,Saint-Leu,RE,75.99,few clouds,-21.15,55.2833,La Caz Oceane
332,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
335,Sain Alto,MX,76.96,clear sky,23.5833,-103.25,Hotel Barraza
342,Cayenne,GF,75.2,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
344,Touros,BR,78.8,clear sky,-5.1989,-35.4608,INN NEW HORIZON
347,Camocim,BR,78.64,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
358,Isangel,VU,84.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
359,Grand Gaube,MU,75.99,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
366,San Pedro,PH,79.0,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
367,Sao Joao Da Barra,BR,78.26,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
368,Sigli,ID,77.45,few clouds,5.3848,95.9609,Losmen Dua Mali
375,Placido De Castro,BR,76.95,heavy intensity rain,-10.3353,-67.1856,Hotel Carioca
376,Gizo,SB,84.11,light rain,-8.103,156.8419,Imagination Island
379,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
381,Coxim,BR,78.4,broken clouds,-18.5067,-54.76,Hotel Avenida
382,Mutis,CO,80.08,overcast clouds,6.2262,-77.4044,Paraiso Escondido
388,Axim,GH,79.83,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
389,Sungairaya,ID,76.24,overcast clouds,0.7,108.9,Mess P.Milu
394,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
398,Takoradi,GH,79.72,broken clouds,4.8845,-1.7554,Raybow International Hotel
402,Witu,KE,78.8,clear sky,-2.3889,40.4382,New City Guest House
407,Ojinaga,MX,75.2,clear sky,29.5667,-104.4167,Suites Las Palmas
409,Port Macquarie,AU,82.99,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
410,Itarema,BR,77.9,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
412,Poum,NC,80.06,clear sky,-20.2333,164.0167,Gîte kajeon
415,Tumpat,MY,77.0,few clouds,6.1978,102.171,Baan Tanyong B&B
419,Santa Rosa De Aguan,HN,84.2,clear sky,15.95,-85.7167,
420,Vilhena,BR,75.2,light rain,-12.7406,-60.1458,Hotel Mirage
422,Vanimo,PG,77.47,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
430,Tarakan,ID,77.0,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
436,Blackwater,AU,80.31,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
454,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
455,Inhambane,MZ,78.84,overcast clouds,-23.865,35.3833,Oceano
460,Bitung,ID,75.2,few clouds,1.4451,125.1824,K2 Lembeh
470,Kilindoni,TZ,80.42,clear sky,-7.9139,39.6668,Bustani B&B
472,Rio Cauto,CU,78.8,scattered clouds,20.5603,-76.9161,
473,Beloha,MG,75.79,broken clouds,-25.1667,45.05,
480,Hambantota,LK,76.66,overcast clouds,6.1241,81.1185,Bungalow 63
488,Bonthe,SL,78.17,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
490,Coihaique,CL,84.2,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
493,Noumea,NC,82.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
503,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
504,Nelson Bay,AU,77.0,light rain,-32.7167,152.15,Mantra Nelson Bay
511,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
514,Ternate,ID,80.94,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
516,Conceicao Da Barra,BR,80.65,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
518,Nampula,MZ,77.0,light rain,-15.1165,39.2666,Tacab Residencial
519,Las Tunas,CU,78.8,scattered clouds,20.9617,-76.9511,Hotel Cadillac
521,Narrabri,AU,77.0,light rain,-30.3167,149.7833,Crossroads Hotel
525,Planaltina,BR,77.0,light rain,-15.4528,-47.6142,Retiro Maranata
533,Moindou,NC,82.4,clear sky,-21.6924,165.67700000000002,Gite de la RYAWA
536,Sungai Padi,TH,77.0,few clouds,6.0851,101.8766,237บอล&บาส
537,Maraa,BR,76.68,heavy intensity rain,-1.8333,-65.3667,
538,Sibolga,ID,75.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
542,Mandera,KE,77.27,few clouds,3.9366,41.867,Kornesh Hotel and Lodging
545,Coreau,BR,76.32,clear sky,-3.5333,-40.6567,LOJA E POUSADA CARCARÁ
552,Nuevo Progreso,MX,77.0,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
566,Matamoros,MX,82.4,clear sky,25.5333,-103.25,Quinta Belem
570,Carutapera,BR,78.24,overcast clouds,-1.195,-46.02,Lidera
574,Taoudenni,ML,78.19,overcast clouds,22.6783,-3.9836,
575,Tucupita,VE,75.51,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
577,Bowen,AU,82.4,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
578,Biguacu,BR,78.01,clear sky,-27.4942,-48.6556,Pousada & Café Catarina
581,Contramaestre,CU,78.8,scattered clouds,20.2978,-76.2414,Hotel Caribeño
583,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
584,Bengkulu,ID,75.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
585,Champerico,GT,84.2,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
589,Vallenar,CL,75.42,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
593,Honiara,SB,83.39,scattered clouds,-9.4333,159.95,Heritage Park Hotel
594,Madingou,CG,76.53,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
596,Karratha,AU,80.04,few clouds,-20.7377,116.8463,ibis Styles Karratha
598,Manggar,ID,79.29,broken clouds,-2.8833,108.2667,Guest Hotel
599,Boa Vista,BR,82.4,light rain,2.8197,-60.6733,Aipana Plaza Hotel
600,Mogadishu,SO,75.58,clear sky,2.0371,45.3438,Hotel Juba
601,Iquitos,PE,82.4,light rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
602,Lorengau,PG,82.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
607,Port Hedland,AU,78.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
620,Harper,LR,79.36,clear sky,4.375,-7.7169,Screensaver
622,Kapoeta,SS,80.6,scattered clouds,4.7717,33.5903,Eastgate Hotel
628,Porto Belo,BR,78.01,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
631,Ugoofaaru,MV,81.36,broken clouds,5.6667,73.0,Ungoofaaru Inn
633,Bubaque,GW,79.07,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
640,Mahanoro,MG,75.81,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
643,Waiuku,NZ,75.99,broken clouds,-37.25,174.75,Waiuku Lodge Motel
647,Yendi,GH,83.79,scattered clouds,9.4427,-0.0099,Eyarro Lodge
653,Diamantino,BR,77.47,broken clouds,-14.4086,-56.4461,Hotel Delta
655,Simpang,ID,75.58,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
656,Kununurra,AU,80.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
663,Port Harcourt,NG,82.6,clear sky,4.7774,7.0134,The Riviera Homes Golf Resort
664,Samarai,PG,83.57,clear sky,-10.6167,150.6667,Nuli Sapi
665,Hervey Bay,AU,81.0,few clouds,-25.2986,152.8535,Shelly Bay Resort
669,Santa Rita,BR,78.8,few clouds,-7.1139,-34.9781,Infinity Motel
672,Coahuayana,MX,75.2,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
674,Arawa,PG,84.61,few clouds,-6.2132,155.5367,Coastline Guest House
679,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
694,Gibara,CU,78.8,scattered clouds,21.1097,-76.1317,Sol y Mar
695,Goundam,ML,77.85,overcast clouds,16.4145,-3.6708,
697,Amahai,ID,80.89,broken clouds,-3.3333,128.9167,HOTEL ISABELA
